"Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio"
"0",49,"F",5,"Graduate","Single","Less than $40K","Blue",44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105
"0",41,"M",3,"Unknown","Married","$80K - $120K","Blue",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095
"0",54,"M",2,"Unknown","Married","$80K - $120K","Blue",42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0
"0",44,"F",3,"Uneducated","Single","Unknown","Blue",34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0
"0",55,"F",1,"College","Single","Less than $40K","Blue",36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544
"0",42,"F",4,"High School","Married","Less than $40K","Gold",36,2,3,3,15433,0,15433,0.865,966,22,1.2,0
"1",66,"F",0,"Doctorate","Married","Unknown","Blue",56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077
"0",49,"M",3,"High School","Married","$60K - $80K","Blue",37,5,2,1,3906,0,3906,1.214,1756,32,1,0
"0",59,"M",1,"Doctorate","Married","$40K - $60K","Blue",52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793
"0",52,"M",1,"College","Single","$80K - $120K","Blue",40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259
"0",52,"F",3,"Unknown","Married","Less than $40K","Blue",41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591
"1",56,"M",2,"Graduate","Married","$120K +","Blue",36,1,3,3,15769,0,15769,1.041,602,15,0.364,0
"0",42,"M",2,"High School","Single","$60K - $80K","Blue",34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525
"0",53,"M",2,"High School","Single","$120K +","Blue",44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111
"0",51,"M",4,"Graduate","Single","$120K +","Blue",42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051
"0",37,"F",3,"Uneducated","Single","Less than $40K","Blue",29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256
"0",47,"M",2,"Graduate","Married","$80K - $120K","Blue",38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066
"0",44,"M",1,"Unknown","Unknown","$120K +","Blue",36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044
"0",43,"F",3,"Uneducated","Single","Less than $40K","Blue",35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0
"0",44,"M",3,"High School","Single","$60K - $80K","Blue",31,4,3,1,12756,837,11919,1.932,1413,14,1.8,0.066
"0",49,"M",4,"High School","Single","$80K - $120K","Blue",38,4,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062
"0",45,"F",3,"Unknown","Married","Unknown","Blue",28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963
"0",45,"M",3,"Graduate","Married","$40K - $60K","Blue",35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347
"0",56,"M",3,"College","Married","$120K +","Blue",50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232
"1",47,"M",2,"Unknown","Married","$80K - $120K","Blue",37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299
"0",53,"M",3,"Graduate","Married","$120K +","Blue",34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43
"0",44,"M",3,"High School","Unknown","$60K - $80K","Blue",25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0
"0",54,"M",4,"Unknown","Divorced","$120K +","Blue",36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058
"0",42,"M",4,"High School","Divorced","$60K - $80K","Blue",36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513
"0",54,"F",0,"Uneducated","Married","Less than $40K","Blue",36,2,2,2,1494,706,788,1.674,1305,24,3,0.473
"0",48,"M",3,"Graduate","Single","$80K - $120K","Blue",35,6,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095
"0",50,"M",3,"High School","Single","$80K - $120K","Blue",39,4,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156
"0",53,"F",2,"High School","Married","Less than $40K","Blue",44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355
"0",53,"M",1,"High School","Married","$80K - $120K","Blue",47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15
"0",58,"M",4,"Graduate","Single","$120K +","Blue",52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0
"1",53,"M",2,"Graduate","Married","$80K - $120K","Blue",41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191
"0",52,"M",2,"High School","Single","$40K - $60K","Blue",45,3,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096
"0",52,"M",1,"Graduate","Married","$80K - $120K","Blue",43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678
"0",63,"F",1,"College","Married","Unknown","Blue",36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395
"1",48,"F",5,"High School","Married","Less than $40K","Blue",38,1,3,3,8025,0,8025,0.654,673,18,0.8,0
"0",51,"M",1,"Unknown","Single","$120K +","Blue",42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258
"0",59,"F",1,"Graduate","Single","Less than $40K","Blue",36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178
"0",40,"M",3,"High School","Single","$80K - $120K","Blue",28,5,1,0,21617,0,21617,1.047,1351,22,0.467,0
"0",48,"F",4,"High School","Single","$40K - $60K","Blue",38,6,1,3,8135,0,8135,1.373,1716,29,0.812,0
"0",58,"F",4,"Uneducated","Married","Less than $40K","Blue",47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77
"0",45,"F",4,"Uneducated","Divorced","Unknown","Blue",36,4,3,3,15875,1719,14156,0.86,1592,37,1.467,0.108
"0",67,"F",1,"Graduate","Married","Less than $40K","Blue",56,4,3,2,3006,2517,489,2.053,1661,32,1,0.837
"0",57,"F",2,"Uneducated","Single","$40K - $60K","Silver",36,6,3,0,19482,1072,18410,0.706,1421,22,1.444,0.055
"0",45,"M",2,"Uneducated","Married","$40K - $60K","Blue",34,3,2,1,5771,2248,3523,1.791,1387,18,0.8,0.39
"0",49,"M",3,"Post-Graduate","Single","$80K - $120K","Blue",33,3,1,0,6278,462,5816,1.161,1087,33,0.941,0.074
"0",41,"F",2,"Post-Graduate","Married","Unknown","Blue",31,6,1,3,20758,0,20758,0.688,1555,32,0.684,0
"0",57,"F",3,"Graduate","Married","Less than $40K","Blue",47,4,2,3,6347,1594,4753,0.896,1771,37,0.762,0.251
"0",53,"M",3,"Uneducated","Married","$80K - $120K","Blue",43,3,3,1,16393,1423,14970,1.642,1461,42,0.75,0.087
"0",59,"M",1,"College","Married","$60K - $80K","Blue",36,4,1,2,7871,1687,6184,1.242,1428,22,1.444,0.214
"0",48,"M",4,"Unknown","Married","$80K - $120K","Blue",36,5,3,0,5288,866,4422,0.869,1777,42,0.75,0.164
"0",44,"M",5,"Graduate","Married","$60K - $80K","Blue",32,4,5,3,11376,2006,9370,0.619,1302,27,0.8,0.176
"0",47,"M",4,"Graduate","Married","$60K - $80K","Silver",33,3,2,1,34516,1679,32837,0.623,1060,27,0.5,0.049
"0",43,"M",4,"High School","Married","$40K - $60K","Blue",36,5,3,2,13258,1721,11537,0.908,1080,21,1.333,0.13
"0",48,"M",2,"College","Single","Less than $40K","Blue",36,3,2,3,2571,1955,616,0.531,1234,24,0.714,0.76
"0",43,"F",4,"Graduate","Single","Less than $40K","Blue",31,5,2,0,5781,1168,4613,0.638,1600,32,0.455,0.202
"0",44,"F",3,"Uneducated","Divorced","Less than $40K","Silver",38,4,1,3,11127,1835,9292,2.368,1546,25,1.273,0.165
"0",50,"M",2,"Unknown","Single","$40K - $60K","Blue",43,2,1,3,1857,1603,254,0.579,1590,43,1.263,0.863
"0",44,"M",4,"Graduate","Single","$80K - $120K","Blue",24,5,3,0,3839,2295,1544,0.569,1271,24,0.714,0.598
"0",48,"F",3,"Graduate","Divorced","$40K - $60K","Blue",39,6,2,3,2115,1141,974,0.616,1223,20,0.538,0.539
"0",45,"M",3,"College","Single","$60K - $80K","Blue",32,4,1,2,1438.3,0,1438.3,0.81,1468,26,0.625,0
"0",44,"M",3,"Post-Graduate","Divorced","$80K - $120K","Blue",36,6,2,2,17965,1644,16321,0.921,1767,50,0.923,0.092
"0",55,"M",2,"College","Married","$60K - $80K","Blue",48,4,3,2,8863,1301,7562,1.207,1512,27,1.455,0.147
"1",52,"M",1,"Uneducated","Married","$80K - $120K","Blue",36,2,3,3,1857,1833,24,0.723,829,17,0.7,0.987
"0",44,"M",3,"Graduate","Unknown","$80K - $120K","Blue",33,3,3,3,34516,0,34516,0.483,1120,27,0.35,0
"0",44,"M",4,"Unknown","Single","$80K - $120K","Blue",34,4,1,2,21573,1585,19988,0.621,1384,36,2.273,0.073
"1",53,"F",2,"Unknown","Married","Less than $40K","Blue",33,2,3,3,2859,2517,342,0.993,817,30,0.667,0.88
"1",49,"M",5,"College","Married","$40K - $60K","Blue",45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0
"0",47,"M",3,"Graduate","Married","$60K - $80K","Blue",38,4,1,2,21304,1532,19772,1.018,1770,25,0.923,0.072
"0",56,"M",3,"Unknown","Unknown","$40K - $60K","Blue",46,6,3,4,2910,709,2201,0.538,1192,27,0.588,0.244
"0",45,"M",1,"Uneducated","Single","$120K +","Blue",39,4,2,2,3133,1510,1623,0.609,1435,38,0.462,0.482
"0",36,"M",2,"College","Unknown","$80K - $120K","Blue",22,2,2,3,34516,1652,32864,0.854,1283,39,1.294,0.048
"1",59,"F",0,"Post-Graduate","Married","$40K - $60K","Blue",40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0
"0",43,"M",4,"Unknown","Married","$60K - $80K","Blue",35,6,3,2,24396,1171,23225,0.655,965,17,1.125,0.048
"0",46,"F",1,"Unknown","Married","Less than $40K","Blue",36,2,3,2,2474,2143,331,1.53,1541,40,1,0.866
"0",40,"M",2,"Uneducated","Divorced","$60K - $80K","Blue",29,5,3,0,23603,0,23603,0.795,1382,31,1.067,0
"0",43,"M",1,"Graduate","Single","$80K - $120K","Silver",37,4,3,2,34516,1440,33076,1.117,1575,34,2.4,0.042
"0",54,"F",1,"Uneducated","Married","$40K - $60K","Blue",44,5,2,3,5556,1711,3845,1.434,1706,21,1.625,0.308
"0",61,"M",0,"Uneducated","Married","$80K - $120K","Blue",48,2,1,0,5362,1274,4088,1.015,1876,41,0.783,0.238
"1",54,"F",4,"Graduate","Married","Unknown","Blue",40,6,2,2,2532,2221,311,0.491,799,21,0.235,0.877
"0",50,"F",4,"Doctorate","Single","Unknown","Blue",36,2,3,2,2521,1608,913,0.587,1328,33,0.571,0.638
"0",55,"M",2,"Doctorate","Married","$60K - $80K","Blue",36,3,4,3,16427,1682,14745,0.631,1579,36,1.118,0.102
"0",60,"M",0,"High School","Married","$40K - $60K","Blue",36,5,1,3,3281,837,2444,1.859,1424,29,1.417,0.255
"0",38,"F",1,"High School","Unknown","Less than $40K","Blue",30,2,3,0,1438.3,583,855.3,0.888,1259,24,1,0.405
"0",46,"M",3,"High School","Single","$40K - $60K","Blue",39,2,3,2,9432,1418,8014,0.612,1319,26,0.368,0.15
"0",48,"M",4,"College","Married","$60K - $80K","Gold",33,2,2,3,34516,2061,32455,0.722,1350,32,0.455,0.06
"0",47,"M",4,"Graduate","Single","$80K - $120K","Blue",36,6,3,2,21637,2030,19607,0.776,1222,23,0.438,0.094
"0",53,"F",3,"Graduate","Married","Less than $40K","Blue",47,5,6,2,2759,2223,536,1.32,2093,42,1,0.806
"0",38,"F",2,"Graduate","Single","Unknown","Blue",31,2,3,2,14041,2154,11887,1.084,1467,29,1.417,0.153
"0",49,"F",4,"High School","Married","Less than $40K","Blue",43,4,2,0,2826,2070,756,0.541,1025,28,0.647,0.732
"0",55,"F",2,"Uneducated","Married","Unknown","Blue",35,3,3,0,3025,2376,649,1.252,1277,23,1.875,0.785
"0",56,"M",1,"Uneducated","Married","$120K +","Blue",36,3,2,2,6041,1355,4686,0.685,1747,49,0.581,0.224
"0",44,"F",2,"Post-Graduate","Married","Less than $40K","Blue",36,3,3,2,2293,1823,470,0.617,1166,22,1.444,0.795
"0",50,"F",1,"Graduate","Single","Less than $40K","Blue",36,4,1,3,5012,2242,2770,0.816,1142,28,1,0.447
"0",43,"M",5,"Graduate","Divorced","$120K +","Silver",31,5,3,3,34516,1699,32817,0.771,1628,38,0.727,0.049
"0",56,"F",1,"Graduate","Married","Less than $40K","Blue",38,4,3,3,2578,2462,116,1.707,1378,29,0.812,0.955
"1",54,"M",2,"Unknown","Married","$40K - $60K","Blue",44,4,3,2,2902,2517,385,0.821,996,26,0.444,0.867
"0",46,"F",4,"Graduate","Single","Less than $40K","Blue",40,5,1,2,6265,1942,4323,1.027,1715,43,0.87,0.31
"0",43,"M",3,"Graduate","Married","$80K - $120K","Blue",26,5,3,2,2355,1090,1265,0.751,1441,29,0.812,0.463
"0",41,"M",1,"Uneducated","Married","$60K - $80K","Blue",25,3,2,0,7984,1503,6481,0.797,1734,39,1.167,0.188
"0",49,"M",3,"Uneducated","Single","$60K - $80K","Blue",32,3,2,2,18584,2517,16067,0.703,1330,34,1.125,0.135
"0",47,"F",2,"Graduate","Married","Less than $40K","Blue",34,5,2,2,3156,1644,1512,1.052,1151,31,1.385,0.521
"0",40,"F",4,"Graduate","Single","Less than $40K","Blue",27,6,2,3,3751,1521,2230,0.974,1060,30,1.308,0.405
"0",49,"F",4,"Post-Graduate","Single","Unknown","Blue",44,6,3,2,18206,1586,16620,0.921,1439,48,1,0.087
"0",49,"M",3,"Graduate","Married","$40K - $60K","Blue",41,5,3,2,2406,1560,846,0.751,1173,32,0.391,0.648
"0",63,"M",1,"Uneducated","Married","$80K - $120K","Blue",36,5,2,3,24571,1955,22616,1.174,1746,28,1,0.08
"0",41,"F",2,"Graduate","Married","Less than $40K","Silver",33,4,2,0,12301,2250,10051,0.484,1307,29,0.261,0.183
"0",37,"M",4,"Graduate","Married","$80K - $120K","Blue",26,6,2,3,2846,1818,1028,0.711,1473,37,1.176,0.639
"0",58,"M",2,"Uneducated","Unknown","$120K +","Blue",49,6,2,3,9788,1794,7994,0.778,1805,37,0.762,0.183
"0",54,"F",2,"Graduate","Married","Less than $40K","Blue",44,3,2,3,2027,1480,547,0.979,1702,37,0.947,0.73
"0",42,"M",3,"Uneducated","Single","$40K - $60K","Blue",36,3,1,0,9599,1554,8045,1.087,1154,38,1.235,0.162
"0",48,"M",2,"High School","Married","$120K +","Blue",36,6,5,2,29963,2094,27869,0.648,1205,28,0.867,0.07
"0",55,"F",2,"Graduate","Single","Less than $40K","Blue",47,5,3,2,6347,0,6347,0.466,1161,44,0.375,0
"1",42,"F",2,"Graduate","Married","Less than $40K","Blue",23,3,3,3,1929,1673,256,0.835,857,36,1.118,0.867
"0",56,"M",3,"Unknown","Single","$60K - $80K","Blue",49,3,1,3,1438.3,0,1438.3,0.503,1093,22,0.833,0
"0",63,"M",0,"High School","Married","$60K - $80K","Blue",36,6,2,3,2567,0,2567,1.636,2399,43,0.955,0
"0",40,"M",3,"High School","Married","$40K - $60K","Blue",33,4,3,3,6884,1001,5883,0.786,975,11,0.833,0.145
