"Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio"
"0",38,"M",1,"Graduate","Married","$60K - $80K","Blue",36,6,3,4,2507,1544,963,0.906,1999,34,0.789,0.616
"0",44,"F",2,"Graduate","Unknown","Less than $40K","Blue",32,2,1,3,3080,1776,1304,0.973,5097,77,0.833,0.577
"0",40,"F",4,"Post-Graduate","Single","$40K - $60K","Blue",28,2,1,2,11642,1501,10141,0.935,9137,92,0.586,0.129
"0",61,"F",0,"Unknown","Unknown","Unknown","Blue",36,4,2,2,1801,0,1801,1.234,3193,62,1.48,0
"0",51,"F",3,"Graduate","Married","$40K - $60K","Blue",36,3,3,3,1565,944,621,0.872,4798,73,1.147,0.603
"0",48,"F",4,"College","Married","$40K - $60K","Blue",37,3,6,2,1792,933,859,0.821,4120,78,0.773,0.521
"0",53,"F",1,"Uneducated","Divorced","$40K - $60K","Silver",36,5,1,1,15248,1242,14006,0.725,4758,83,0.456,0.081
"0",45,"F",4,"High School","Divorced","$40K - $60K","Blue",31,5,2,4,4701,1170,3531,0.547,4136,77,0.604,0.249
"0",26,"M",0,"Graduate","Divorced","Unknown","Blue",36,6,1,3,21084,2517,18567,0.763,2309,71,0.543,0.119
"0",58,"M",2,"Uneducated","Married","$80K - $120K","Blue",46,6,1,3,9149,1806,7343,0.35,1220,36,0.333,0.197
"0",55,"F",3,"Graduate","Married","Unknown","Blue",36,3,2,0,4861,1123,3738,0.938,1556,40,0.538,0.231
"0",43,"M",3,"Graduate","Unknown","$120K +","Blue",36,6,1,2,25937,0,25937,0.936,3785,68,0.7,0
"0",42,"M",2,"Graduate","Divorced","$80K - $120K","Blue",35,5,3,1,6779,1359,5420,0.737,3434,65,0.512,0.2
"0",46,"M",2,"Graduate","Married","$60K - $80K","Blue",36,3,2,3,15405,1691,13714,0.814,1763,44,0.189,0.11
"0",43,"M",2,"Post-Graduate","Married","$120K +","Blue",36,3,3,2,10700,1346,9354,0.639,4054,68,0.7,0.126
"0",49,"F",4,"Unknown","Single","$40K - $60K","Blue",39,6,2,3,7382,1326,6056,0.806,4792,65,0.667,0.18
"0",51,"F",2,"High School","Single","$40K - $60K","Blue",32,4,1,2,5351,0,5351,0.763,4596,78,0.5,0
"0",34,"F",4,"High School","Single","Unknown","Silver",26,2,2,2,32056,1668,30388,0.771,12595,106,0.683,0.052
"0",44,"F",4,"Unknown","Married","Unknown","Blue",37,4,3,3,5826,0,5826,0.689,3756,73,0.921,0
"0",41,"M",3,"High School","Divorced","$60K - $80K","Blue",32,1,2,1,4549,2109,2440,0.953,8642,85,0.7,0.464
"0",39,"F",1,"Graduate","Single","Less than $40K","Blue",23,4,3,3,2533,0,2533,0.998,5128,74,0.947,0
"0",36,"M",3,"Graduate","Divorced","$40K - $60K","Blue",28,4,2,3,8995,1547,7448,0.923,2398,61,0.794,0.172
"0",41,"M",2,"High School","Married","$60K - $80K","Blue",30,6,3,2,9428,1765,7663,0.587,1457,43,0.593,0.187
"0",56,"F",1,"Graduate","Married","Less than $40K","Blue",50,4,3,2,1584,1311,273,0.867,4203,73,0.78,0.828
"0",61,"M",0,"Graduate","Married","$40K - $60K","Blue",52,3,1,2,2939,1999,940,2.145,2434,33,1.538,0.68
"0",37,"F",3,"Unknown","Single","Unknown","Blue",29,3,2,2,8318,1945,6373,1.487,3676,77,1.139,0.234
"0",63,"F",0,"Unknown","Married","Less than $40K","Blue",54,4,2,1,2420,1912,508,1.256,1730,36,0.565,0.79
"0",42,"F",3,"Graduate","Single","Less than $40K","Blue",35,5,2,4,5596,1086,4510,0.587,3896,65,0.757,0.194
"0",49,"F",4,"High School","Single","Less than $40K","Gold",34,4,3,2,15569,1554,14015,0.436,4566,73,0.78,0.1
"0",45,"F",3,"Doctorate","Married","Less than $40K","Blue",36,1,2,2,2143,1479,664,0.708,4404,77,0.75,0.69
"0",43,"M",3,"Unknown","Married","$40K - $60K","Blue",33,6,1,2,4402,1640,2762,0.719,1774,46,1,0.373
"0",42,"M",1,"Graduate","Single","$60K - $80K","Blue",37,4,1,1,2596,1210,1386,0.549,4642,78,0.696,0.466
"0",45,"M",3,"Graduate","Married","$80K - $120K","Blue",36,3,3,1,20274,2100,18174,0.584,5274,66,0.61,0.104
"0",46,"M",1,"Graduate","Divorced","$120K +","Blue",30,6,2,2,2016,797,1219,1.108,3772,62,0.879,0.395
"0",40,"M",5,"Unknown","Married","$80K - $120K","Blue",33,4,2,4,34516,1501,33015,0.813,3368,64,0.641,0.043
"0",59,"F",1,"Graduate","Single","Less than $40K","Blue",52,5,3,3,2636,1619,1017,0.565,4727,83,0.627,0.614
"0",39,"F",2,"Unknown","Married","Less than $40K","Blue",33,3,1,3,3251,1937,1314,0.685,4284,85,0.809,0.596
"0",55,"F",2,"Post-Graduate","Married","Less than $40K","Blue",45,3,3,3,2163,0,2163,0.816,1349,47,0.88,0
"0",39,"F",2,"Graduate","Married","$40K - $60K","Blue",36,4,2,4,1947,1160,787,1.227,4496,71,1.29,0.596
"0",49,"M",1,"Doctorate","Married","$60K - $80K","Blue",36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05
"0",39,"F",3,"Uneducated","Single","Unknown","Blue",25,5,3,3,4181,1604,2577,0.659,3955,74,0.574,0.384
"0",45,"F",2,"Uneducated","Single","$40K - $60K","Blue",35,2,3,0,3540,849,2691,0.456,1321,28,0.75,0.24
"0",40,"M",3,"Graduate","Divorced","Less than $40K","Silver",36,1,3,2,11409,1658,9751,0.989,4677,58,0.706,0.145
"0",47,"M",2,"Uneducated","Single","$60K - $80K","Blue",36,3,3,2,12510,1871,10639,0.748,14018,128,0.778,0.15
"0",53,"M",3,"High School","Married","$120K +","Blue",40,6,2,5,4182,741,3441,0.885,1297,24,1.182,0.177
"0",53,"F",2,"Unknown","Single","Less than $40K","Blue",36,5,2,2,1820,909,911,0.737,4665,67,0.763,0.499
"0",44,"F",4,"High School","Single","Less than $40K","Blue",30,1,2,3,6882,1930,4952,0.915,13836,113,0.766,0.28
"0",53,"M",2,"Post-Graduate","Married","$80K - $120K","Blue",36,5,1,2,3610,1629,1981,0.821,1652,40,0.481,0.451
"0",44,"F",3,"Graduate","Single","Less than $40K","Blue",36,5,1,3,4066,1028,3038,0.972,3888,77,0.604,0.253
"0",50,"F",3,"High School","Married","Unknown","Blue",38,4,2,1,2808,1720,1088,0.836,5137,81,0.723,0.613
"0",42,"M",3,"Uneducated","Single","$80K - $120K","Blue",35,5,1,4,16054,0,16054,0.446,3449,75,0.705,0
"0",41,"F",3,"High School","Married","$40K - $60K","Blue",36,4,1,2,9797,1434,8363,0.644,1503,34,0.478,0.146
"0",47,"F",5,"Graduate","Single","Less than $40K","Blue",36,1,2,1,2761,1950,811,0.582,4510,88,0.66,0.706
"0",35,"M",0,"High School","Single","$80K - $120K","Gold",29,6,2,3,34516,1965,32551,1.044,2949,70,1,0.057
"0",48,"F",3,"College","Married","Less than $40K","Blue",36,4,1,2,2544,0,2544,0.759,3593,64,1,0
"0",51,"F",4,"High School","Single","Less than $40K","Blue",36,6,3,3,2902,1634,1268,0.588,4748,74,0.51,0.563
"0",38,"F",3,"High School","Married","Less than $40K","Blue",28,4,2,3,2435,1888,547,0.922,1847,39,0.696,0.775
